Student ID,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
023251854F,,8.7,5,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,15.6,,
021155815C,,,,,,19,,13,,,,,14.5,,,,17.3,,,16.8,,,,,,,,6.5,,,,,,17.3,
0231297359,,20,14,,,,,,,,14.7,,,,,,,20,,,,,16.6,,,,,,,,,,16.9,,
0211509258,,,,,16.5,,,,,,,10,,15,,,,,,,,,,7.8,,9,,,,,4,,,15.1,
023216612F,,1.3,4.5,,,,,,,,4.8,,,,,,,0,,,,,1.8,,,,,,,,,,2.3,,
019153604F,ABS_EXAM_JUST,,,,,,,ABS_EXAM,,,,,ABS_EXAM,ABS_EXAM,,,ABS_EXAM,,,ABS_EXAM,,,,,,,,ABS_EXAM,,,,,,ABS_EXAM,
0190546851,,ABS_EXAM_JUST,,,,,,,,,,ABS_EXAM_JUST,,ABS_EXAM_JUST,,,,ABS_EXAM_JUST,,ABS_EXAM_JUST,,,,,,,,,,,,,,,
022012490C,12.4,,,,15.5,,,,,,,10.5,,14,,,,,8.5,,,,,12.2,,14,,,,,,,,,
0232410340,,6.8,15,,,,,,,,7.6,,,,,,,6,,,,,10,,,,,,,,,,10.2,,
0232503318,,2.8,8,,,,,,,,8.5,,,,,,,4,,,,,13.6,,,,,,,,,,11.3,,
0230939806,,8.5,12.5,,,,,,,,6.1,,,,,,,4,,,,,8.6,,,,,,,,,,13.7,,
0231766118,,7.7,10,,,,,,,,9.1,,,,,,,14,,,,,13,,,,,,,,,,16.6,,
023022572B,,8.6,14.5,,,,,,,,12.3,,,,,,,11,,,,,11.8,,,,,,,,,,14.3,,
022043375D,13.2,,,,19,,,,,,,15,,10,,,,,,,,,,8,,10,,,,,7,,,,
0221973140,11.8,,,,12.5,,,,,12,,14,,9,,,,,9,,,,,10,,6,,,,,,,,,
021145823F,,,,,,16.5,,,,,,,11.1,,,,ABS_EXAM_JUST,,,20,,,,,,,,7.5,,,,,,15.9,
0231754101,,12.9,9,,,,,,,,13.3,,,,,,,14,,,,,16.5,,,,,,,,,,16.9,,
023152592F,,8.7,8.5,,,,,,,,5.7,,,,,,,7,,,,,5.4,,,,,,,,,,12.8,,
022142822F,14,,,,19.5,,,,,,,12.5,,12,,,,,,,,,,15.5,,12,,,,,,,,,
0210192813,,,,,,20,,,,,,,17.3,,,,16.3,,,19.2,,,,,,,,17.5,,,,,,17.3,
0210208650,,,,,,19,,18,,,,,11.1,,,,13.2,,,17.8,,,,,,,,18,,,,,,18,
0232302333,,,14,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,16.4,,
0230444500,,7.1,6.5,,,,,,,,8.2,,,,,,,8,,,,,3.3,,,,,,,,,,3.3,,
0210110444,,,,,,19,,19,,,,,17.7,,,,19,,,19.4,,,,,,,,10,,,,,,18.7,
023244245E,,11.3,10,,,,,,,,14.7,,,,,,,14,,,,,10,,,,,,,,,,15.1,,
0232547750,,7.1,6,,,,,,,,4,,,,,,,9,,,,,8.9,,,,,,,,,,12.7,,
0201395418,,,,,,,,,,,,,8.8,10,12,,13.2,,,,,,,ABS_EXAM,17,,,,,,,,,12.5,
023193644E,,ABS_EXAM,10,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
0221908904,16.2,,,,18.5,,,,,,,16,,11,,,,,,,,,,15,,14,,,,,,,,,
021153080D,,,,,,18.5,,6,,,,,13.2,,,,17.6,,10.5,17,,,,,,,,10,,,,,,15.7,
023233720C,,4.2,13,,,,,,,,4.4,,,,,,,3,,,,,3.7,,,,,,,,,,3.3,,
0180632649,13,,,,16,,,,,,,14,,14,,,,,,,,,,15.4,,13,,,,,,,,,
0221541510,10.8,,,,17.5,,,,,,,15,,10,,,,,5,,,,,8,,11,,,,,10,,,,
0230669412,,,,,11.5,,,,,,,14,,,,,,,,,,,,18.7,,19,,,,,,,18,,
0221286252,,,,,18.5,,,,,,,,,19,,,,,,,,,,18.3,,18,,,,,,,,,
023111510D,,13.7,17,,,,,,,,14,,,,,,,16,,,,,17.1,,,,,,,,,,14.7,,
023242772C,,ABS_EXAM,10,,,,,,,,,,,,,,,7,,,,,ABS_EXAM,,,,,,,,,,10.9,,
0221586049,16.8,,,,19,,,,,,,15.5,,19,,,,,,,,,,17.5,,16,,,,,,,,,
023216904C,,2.4,7,,,,,,,,4.1,,,,,,,0,,,,,1,,,,,,,,,,2,,
0232421650,,17.5,12.5,,,,,,,,14.2,,,,,,,18,,,,,14.7,,,,,,,,,,18,,
0210110646,,,,,15.5,,,14,,,,6,11.5,,,,14.2,,,16.8,,,,,,,,1,,,,,,16.3,
0232059530,,ABS_EXAM,0,,,,,,,,ABS_EXAM,,,,,,,4,,,,,11.4,,,,,,,,,,15.8,,
023255372B,,ABS_EXAM,12.5,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,16.2,,,,,,,,,,17,,
